Year,Count,Types,Percentage
1995,388,Solids and liquids,0.1641285956
1996,366,Solids and liquids,0.1510524144
1997,340,Solids and liquids,0.1284472988
1998,319,Solids and liquids,0.1207875805
1999,307,Solids and liquids,0.1232931727
2000,314,Solids and liquids,0.131270903
2001,307,Solids and liquids,0.1242411979
2002,321,Solids and liquids,0.1378273937
2003,289,Solids and liquids,0.1335489834
2004,260,Solids and liquids,0.1220657277
2005,261,Solids and liquids,0.1245229008
2006,266,Solids and liquids,0.1240671642
2007,318,Solids and liquids,0.140645732
2008,335,Solids and liquids,0.1439003436
2009,350,Solids and liquids,0.1482422702
2010,320,Solids and liquids,0.1326150021
2011,388,Solids and liquids,0.1566410981
2012,387,Solids and liquids,0.1507596416
2013,423,Solids and liquids,0.1593220339
2014,452,Solids and liquids,0.1565639072
2015,501,Solids and liquids,0.1634050881
1995,524,Gases,0.2216582064
1996,540,Gases,0.2228642179
1997,602,Gases,0.2274272762
1998,563,Gases,0.213176827
1999,569,Gases,0.2285140562
2000,540,Gases,0.2257525084
2001,482,Gases,0.1950627276
2002,422,Gases,0.1811936453
2003,371,Gases,0.1714417745,
2004,383,Gases,0.1798122066,
2005,319,Gases,0.1521946565,
2006,271,Gases,0.1263992537,
2007,238,Gases,0.1052631579,
2008,236,Gases,0.1013745704,
2009,240,Gases,0.1016518424,
2010,219,Gases,0.9075839204,
2011,211,Gases,0.8518368995,
2012,188,Gases,0.7323724192,
2013,177,Gases,0.6666666667,
2014,174,Gases,0.6027017665,
2015,193,Gases,0.6294846706,
1995,695,Hanging,0.2939932318,
1996,809,Hanging,0.3338836154,
1997,1000,Hanging,0.377786173,
1998,1173,Hanging,0.4441499432,
1999,1039,Hanging,0.4172690763,
2000,999,Hanging,0.4176421405,
2001,1084,Hanging,0.43868879,
2002,1030,Hanging,0.4422498927,
2003,986,Hanging,0.4556377079,
2004,1013,Hanging,0.4755868545,
2005,1072,Hanging,0.5114503817,
2006,1089,Hanging,0.5079291045,
2007,1179,Hanging,0.5214506855,
2008,1184,Hanging,0.5085910653,
2009,1235,Hanging,0.5230834392,
2010,1329,Hanging,0.5507666805,
2011,1361,Hanging,0.5494549859,
2012,1395,Hanging,0.5434359174,
